Name,Value,Byte Offset,Type
vp_c1_data[193],"2.43619E-29, 1.01620E+17, 9.55056E-39, 4.45927E+17",3088,float4
vp_c1_data[194],"-7.38013E+20, 2.91721E-39, 1.54143E-44, 3.42340E+17",3104,float4
vp_c1_data[195],"2.48258E-38, 4.18835E+17, 3.65671E-38, 2.44391E+17",3120,float4
vp_c1_data[196],"-5.31794E+37, 1.46707E-38, 7.28953E-40, 2.42331E-38",3136,float4
vp_c1_data[197],"7.99043E-39, 2.43265E+17, 1.98415E-38, 5.66558E+15",3152,float4
vp_c1_data[198],"-3.32324E+36, 2.91721E-39, 7.31614E-38, 4.18835E+17",3168,float4
vp_c1_data[199],"1.09302E-38, 2.43265E+17, 1.09292E-38, 2.43265E+17",3184,float4
vp_c1_data[200],"-6.38133E+37, 1.35330E-19, 6.49331E-40, 1.50464E-36",3200,float4
vp_c1_data[201],"6.48249E-40, 1.88608E-08, 6.50044E-40, 1.88608E-08",3216,float4
vp_c1_data[202],"-3.32371E+36, 2.91721E-39, 6.51845E-40, 1.88608E-08",3232,float4
vp_c1_data[203],"7.34362E-40, 8.38953E+07, 7.34363E-40, 8.38964E+07",3248,float4
vp_c1_data[204],"-5.31794E+37, 5.85451E-39, 2.43630E-29, 6.38987E+16",3264,float4
vp_c1_data[205],"7.28979E-40, 2.42446E-38, 1.97529E-38, 2.61279E+17",3280,float4
vp_c1_data[206],"-6.38121E+37, 2.89425E-39, 2.46514E-30, -1.34006E+29",3296,float4
vp_c1_data[207],"1.52915E-21, 6.08339E+07, 6.72610E-38, 2.44391E+17",3312,float4
vp_c1_data[208],"-6.38133E+37, 3.15113E-29, 1.31723E-21, 6.08339E+07",3328,float4
vp_c1_data[209],"1.42314E-21, 6.08339E+07, 1.10563E-21, 8.59259E+10",3344,float4
vp_c1_data[210],"-5.31794E+37, 2.89428E-39, 2.48143E-38, 2.61279E+17",3360,float4
vp_c1_data[211],"3.95058E-38, 2.61279E+17, 8.93718E-22, 8.59259E+10",3376,float4
vp_c1_data[212],"-4.25456E+37, 2.68762E-39, 9.99623E-22, 8.59259E+10",3392,float4
vp_c1_data[213],"2.43631E-29, 6.10839E+16, 6.16286E-31, -1.34006E+29",3408,float4
vp_c1_data[214],"-5.31794E+37, 1.92311E-33, 2.20373E-39, 0.00008",3424,float4
vp_c1_data[215],"4.53812E-38, 2.61279E+17, 4.96186E-38, 2.61279E+17",3440,float4
vp_c1_data[216],"-1.23818E+28, 1.87510E-36, 6.52209E-40, 7.45254E-08",3456,float4
vp_c1_data[217],"1.54072E-31, -1.34006E+29, 2.77480E-38, 2.61279E+17",3472,float4
vp_c1_data[218],"-1.51204E+24, 2.91578E-39, 4.24417E-38, 2.61279E+17",3488,float4
vp_c1_data[219],"1.04768E-31, -1.34006E+29, 5.58347E-38, 4.45980E+17",3504,float4
vp_c1_data[220],"-4.25451E+37, 1.90702E-39, 3.35257E-30, -1.34006E+29",3520,float4
vp_c1_data[221],"7.34364E-40, 8.38974E+07, 7.90389E-38, 4.18835E+17",3536,float4
vp_c1_data[222],"-5.31794E+37, 5.85451E-39, 7.34367E-40, 8.38984E+07",3552,float4
vp_c1_data[223],"6.52562E-40, 7.45245E-08, 1.97490E-38, 5.63101E+15",3568,float4
vp_c1_data[224],"-4.25445E+37, 2.84260E-39, 8.38142E-31, -1.34006E+29",3584,float4
vp_c1_data[225],"8.48964E-38, 2.44391E+17, 9.86059E-30, -1.34006E+29",3600,float4
vp_c1_data[226],"-5.32001E+37, 2.91722E-39, 6.13907E-38, 2.61279E+17",3616,float4
vp_c1_data[227],"3.06817E-38, 5.63108E+15, 2.48057E-38, 2.61279E+17",3632,float4
vp_c1_data[228],"-5.31794E+37, 1.17377E-37, 3.36233E-38, 2.61279E+17",3648,float4
